timestamp,severity,score,country,attack_type,mitre,source_ip,target_system
2026-01-18 12:41:28.415594,Medium,71,DE,Phishing,T1566,86.170.114.239,Mail Gateway
2026-01-18 12:46:52.415594,Critical,95,RU,Brute Force,T1110,117.114.132.30,SSH Server
2026-01-18 12:47:54.415594,Critical,99,KR,DDoS,T1498,96.160.194.148,API Gateway
2026-01-18 12:48:41.415594,Critical,98,GB,DDoS,T1498,177.186.64.134,DNS Server
2026-01-18 12:55:05.415594,Critical,90,GB,Malware Distribution,T1204,110.151.112.128,File Server
2026-01-18 13:03:23.415594,Medium,54,NL,Phishing,T1566,211.63.140.218,End User
2026-01-18 13:12:58.415594,Medium,56,KR,Directory Traversal,T1083,176.78.107.218,Web Server
2026-01-18 13:14:59.415594,Medium,51,CN,Spam,T1566,190.81.11.141,Mail Gateway
2026-01-18 13:22:16.415594,Medium,61,US,Directory Traversal,T1083,137.99.201.25,Application Server
2026-01-18 13:22:47.415594,Low,26,IN,Cryptojacking,T1496,202.70.226.179,Web Server
2026-01-18 13:25:20.415594,High,87,ID,SQL Injection,T1190,215.52.75.97,Web Application
2026-01-18 13:33:58.415594,Medium,55,BR,Phishing,T1566,13.26.60.251,End User
2026-01-18 13:35:40.415594,Medium,54,GB,Directory Traversal,T1083,32.203.250.78,Web Server
2026-01-18 13:44:59.415594,Medium,62,US,Phishing,T1566,187.227.188.3,Email Server
2026-01-18 13:50:57.415594,Critical,100,KR,Malware Distribution,T1204,193.245.140.178,File Server
2026-01-18 13:55:28.415594,High,85,AU,Command Injection,T1059,144.32.94.104,Web Application
2026-01-18 13:58:55.415594,High,88,DE,Command Injection,T1059,205.60.92.221,Web Application
2026-01-18 14:04:34.415594,Critical,97,BR,Brute Force,T1110,200.105.82.23,SSH Server
2026-01-18 14:10:20.415594,Critical,91,US,Malware Distribution,T1204,174.0.127.77,Web Server
2026-01-18 14:17:13.415594,Medium,64,US,Spam,T1566,212.180.107.177,Email Server
2026-01-18 14:24:22.415594,High,78,US,SQL Injection,T1190,200.110.183.72,API Gateway
2026-01-18 14:25:22.415594,Medium,67,RU,Reconnaissance,T1592,176.233.42.242,Web Server
2026-01-18 14:25:31.415594,Low,29,GB,Cryptojacking,T1496,209.98.190.145,Cloud Instance
2026-01-18 14:33:14.415594,Medium,63,US,Spam,T1566,41.126.39.70,Email Server
2026-01-18 14:40:41.415594,Medium,63,AU,Phishing,T1566,139.139.74.223,End User
2026-01-18 14:51:40.415594,Critical,96,BR,DDoS,T1498,49.156.250.25,API Gateway
2026-01-18 14:58:08.415594,Medium,69,AU,Phishing,T1566,134.199.92.89,Mail Gateway
2026-01-18 15:00:49.415594,Low,42,GB,Cryptojacking,T1496,222.65.132.3,Cloud Instance
2026-01-18 15:05:41.415594,High,77,DE,SQL Injection,T1190,195.189.127.174,API Gateway
2026-01-18 15:08:35.415594,Medium,64,FR,Reconnaissance,T1592,187.219.117.79,DNS Server
2026-01-18 15:26:03.415594,Low,38,DE,Policy Violation,T1071,109.122.47.43,Proxy Server
2026-01-18 15:27:53.415594,Medium,67,BR,Directory Traversal,T1083,219.69.245.128,Application Server
2026-01-18 15:34:20.415594,Low,47,BR,Suspicious Activity,T1595,204.3.217.180,IDS/IPS
2026-01-18 15:34:34.415594,High,86,CN,Port Scanning,T1046,202.115.89.20,Firewall
2026-01-18 15:42:03.415594,Medium,51,GB,Directory Traversal,T1083,176.57.173.234,Application Server
2026-01-18 15:46:25.415594,Low,28,FR,Policy Violation,T1071,189.109.1.189,Web Gateway
2026-01-18 15:53:14.415594,High,79,IN,Port Scanning,T1046,120.182.3.158,Network Infrastructure
2026-01-18 16:05:48.415594,High,75,IN,XSS Attack,T1059,151.4.51.111,Web Application
2026-01-18 16:10:01.415594,Medium,54,CN,Directory Traversal,T1083,16.128.115.121,File Server
2026-01-18 16:10:39.415594,High,89,CN,SQL Injection,T1190,162.224.82.36,Web Application
2026-01-18 16:13:45.415594,Critical,93,CN,DDoS,T1498,25.202.215.191,Web Server
2026-01-18 16:21:52.415594,High,78,GB,Command Injection,T1059,162.250.253.205,Web Application
2026-01-18 16:26:13.415594,High,87,US,Command Injection,T1059,65.55.10.33,Shell Server
